0,14,26,400
0,26,35,650
0,35,18,800
0,18,34,750
0,34,0,750
0,0,56,700
0,56,30,600
0,30,44,850
0,44,39,550
0,39,5,500
0,5,40,900
0,40,25,600
0,25,50,400
0,50,55,900
1,55,50,900
1,50,25,400
1,25,40,600
1,40,5,900
1,5,39,500
1,39,44,550
1,44,30,850
1,30,56,600
1,56,0,700
1,0,34,750
1,34,18,750
1,18,35,800
1,35,26,650
1,26,14,400
2,35,2,1800
2,2,15,700
2,15,36,600
2,36,21,650
2,21,3,550
2,3,9,720
2,9,1,550
2,1,13,680
2,13,10,700
2,10,28,1200
2,28,6,860
2,6,16,800
2,16,39,700
3,39,16,700
3,16,6,800
3,6,28,860
3,28,10,1200
3,10,13,700
3,13,1,680
3,1,9,550
3,9,3,720
3,3,21,550
3,21,36,650
3,36,15,600
3,15,2,700
3,2,35,1800
4,36,37,400
4,37,38,450
4,38,41,780
4,41,42,600
4,42,43,750
4,43,45,800
4,45,46,600
4,46,47,750
4,47,48,500
4,48,49,800
4,49,51,750
4,51,52,680
4,52,53,740
4,53,54,800
4,54,57,700
4,57,58,800
4,58,59,900
4,59,23,850
5,23,59,850
5,59,58,900
5,58,57,800
5,57,54,700
5,54,53,800
5,53,52,740
5,52,51,680
5,51,49,750
5,49,48,800
5,48,47,500
5,47,46,750
5,46,45,600
5,45,43,800
5,43,42,750
5,42,41,600
5,41,38,780
5,38,37,450
5,37,36,400
6,5,4,500
6,4,7,800
6,7,8,300
6,8,11,600
6,11,12,800
6,12,17,900
6,17,19,1000
6,19,20,800
6,20,22,700
6,22,23,700
6,23,24,800
6,24,27,750
6,27,29,750
6,29,32,800
6,32,31,900
6,31,33,700
7,33,31,700
7,31,32,900
7,32,29,800
7,29,27,750
7,27,24,750
7,24,23,800
7,23,22,700
7,22,20,700
7,20,19,800
7,19,17,1000
7,17,12,900
7,12,11,800
7,11,8,600
7,8,7,300
7,7,4,800
7,4,5,500
